ISBN,Title,Publish_year,Price,Copies_number,Threshold,Category
204,Manasa,2009-07-29,581,86,82,Art
205,India from Midnight to Milennium,2009-07-30,582,87,83,history
206,"World's Greatest Trials, The",2009-07-31,583,88,84,history
207,"Great Indian Novel, The",2009-08-01,584,89,85,Art
208,O Jerusalem!,2009-08-02,585,90,86,history
209,"City of Joy, The",2009-08-03,586,91,87,Art
210,Freedom at Midnight,2009-08-04,587,92,88,history
211,"Winter of Our Discontent, The",2009-08-05,588,93,89,Art
212,On Education,2009-08-06,589,94,90,Religion
213,Free Will,2009-08-07,590,95,91,Religion
214,Bookless in Baghdad,2009-08-08,591,96,92,Art
215,"Case of the Lame Canary, The",2009-08-09,592,97,93,Art
216,"Theory of Everything, The",2009-08-10,593,98,94,science
217,New Markets & Other Essays,2009-08-11,594,99,95,Art
218,Electric Universe,2009-08-12,595,100,96,science
219,"Hunchback of Notre Dame, The",2009-08-13,596,101,97,Art
220,Burning Bright,2009-08-14,597,102,98,Art
221,"Age of Discontuinity, The",2009-08-15,598,103,99,Art
222,Doctor in the Nude,2009-08-16,599,104,100,Art
223,Down and Out in Paris & London,2009-08-17,600,105,101,Art
224,Identity & Violence,2009-08-18,601,106,102,Religion
225,Beyond the Three Seas,2009-08-19,602,107,103,history
226,"World's Greatest Short Stories, The",2009-08-20,603,108,104,Art
227,Talking Straight,2009-08-21,604,109,105,Art
228,"Maugham's Collected Short Stories, Vol 3",2009-08-22,605,110,106,Art
229,"Phantom of Manhattan, The",2009-08-23,606,111,107,Art
230,Ashenden of The British Agent,2009-08-24,607,112,108,Art
231,Zen & The Art of Motorcycle Maintenance,2009-08-25,608,113,109,Religion
232,"Great War for Civilization, The",2009-08-26,609,114,110,history
233,We the Living,2009-08-27,610,115,111,Art
234,"Artist and the Geographyematician, The",2009-08-28,611,116,112,science
235,History of Western Religion,2009-08-29,612,117,113,Religion
236,Selected Short Stories,2009-08-30,613,118,114,Art
237,Rationality & Freedom,2009-08-31,614,119,115,Art
238,Clash of Civilizations and Remaking of the World Order,2009-09-01,615,120,116,history
239,Uncommon Wisdom,2009-09-02,616,121,117,Art
240,One,2009-09-03,617,122,118,Art
241,Karl Marx Biography,2009-09-04,618,123,119,Art
242,To Sir With Love,2009-09-05,619,124,120,Art
243,Half A Life,2009-09-06,620,125,121,Art
244,"Discovery of India, The",2009-09-07,621,126,122,history
245,Apulki,2009-09-08,622,127,123,Art
246,Unpopular Essays,2009-09-09,623,128,124,Religion
247,"Deceiver, The",2009-09-10,624,129,125,Art
248,Veil: Secret Wars of the CIA,2009-09-11,625,130,126,history
249,Char Shabda,2009-09-12,626,131,127,Art
250,Rosy is My Relative,2009-09-13,627,132,128,Art
251,"Moon and Sixpence, The",2009-09-14,628,133,129,Art
252,Political Philosophers,2009-09-15,629,134,130,Religion
253,"Short History of the World, A",2009-09-16,630,135,131,history
254,"Trembling of a Leaf, The",2009-09-17,631,136,132,Art
255,Doctor on the Brain,2009-09-18,632,137,133,Art
256,Simpsons & Their Geographyematical Secrets,2009-09-19,633,138,134,science
257,Pattern Classification,2009-09-20,634,139,135,Science
258,From Beirut to Jerusalem,2009-09-21,635,140,136,history
259,"Code Book, The",2009-09-22,636,141,137,science
260,"Age of the Warrior, The",2009-09-23,637,142,138,history
261,Final Crisis,2009-09-24,638,143,139,comic
274,"Life in Letters, A",2009-09-25,639,144,140,Art
275,"Information, The",2009-09-26,640,145,141,science
276,"Journal of Art, vol 106 No 3",2009-09-27,641,146,142,Art
277,Elements of Information Theory,2009-09-28,642,147,143,Science
278,Power Electronics - Rashid,2009-09-29,643,148,144,History
279,Power Electronics - Mohan,2009-09-30,644,149,145,History
280,Neural Networks,2009-10-01,645,150,146,Science
281,"Grapes of Wrath, The",2009-10-02,646,151,147,Art
282,Vyakti ani Valli,2009-10-03,647,152,148,Art
283,Statistical Learning Theory,2009-10-04,648,153,149,Science
284,Empire of the Mughal - The Tainted Throne,2009-10-05,649,154,150,history
285,Empire of the Mughal - Brothers at War,2009-10-06,650,155,151,history
286,Empire of the Mughal - Ruler of the World,2009-10-07,651,156,152,history
287,Empire of the Mughal - The Serpent's Tooth,2009-10-08,652,157,153,history
288,Empire of the Mughal - Raiders from the North,2009-10-09,653,158,154,history
289,Mossad,2009-10-10,654,159,155,history
290,Jim Corbett Omnibus,2009-10-11,655,160,156,Art
291,20000 Leagues Under the Sea,2009-10-12,656,161,157,Art
292,Batatyachi Chal,2009-10-13,657,162,158,Art
293,Hafasavnuk,2009-10-14,658,163,159,Art
294,Urlasurla,2009-10-15,659,164,160,Art
295,Pointers in C,2009-10-16,660,165,161,History
296,"Cathedral and the Bazaar, The",2009-10-17,661,166,162,History
297,Design with OpAmps,2009-10-18,662,167,163,History
298,Think Complexity,2009-10-19,663,168,164,Science
299,"Devil's Advocate, The",2009-10-20,664,169,165,Art
300,Ayn Rand Answers,2009-10-21,665,170,166,Religion
301,Religion: Who Needs It,2009-10-22,666,171,167,Religion
302,"World's Great Thinkers, The",2009-10-23,667,172,168,Religion
303,Data Analysis with Open Source Tools,2009-10-24,668,173,169,Science
304,Broca's Brain,2009-10-25,669,174,170,science
305,Men of Religion,2009-10-26,670,175,171,Religion
306,Oxford book of Modern Science Writing,2009-10-27,671,176,172,science
307,"Justice, Judiciary and Democracy",2009-10-28,672,177,173,Religion
308,"Arthashastra, The",2009-10-29,673,178,174,Religion
309,We the People,2009-10-30,674,179,175,Religion
310,We the Nation,2009-10-31,675,180,176,Religion
311,"Courtroom Genius, The",2009-11-01,676,181,177,Art
312,Dongri to Dubai,2009-11-02,677,182,178,Art
313,"History of England, Foundation",2009-11-03,678,183,179,history
314,City of Djinns,2009-11-04,679,184,180,history
315,India's Legal System,2009-11-05,680,185,181,Art
316,More Tears to Cry,2009-11-06,681,186,182,Art
317,"Ropemaker, The",2009-11-07,682,187,183,Art
318,Angels & Demons,2009-11-08,683,188,184,Art
321,"Prince, The",2009-11-09,684,189,185,Religion
322,Eyeless in Gaza,2009-11-10,685,190,186,Art
323,Tales of Beedle the Bard,2009-11-11,686,191,187,Art
324,Girl with the Dragon Tattoo,2009-11-12,687,192,188,Art
325,Girl who kicked the Hornet's Nest,2009-11-13,688,193,189,Art
326,Girl who played with Fire,2009-11-14,689,194,190,Art
327,Batman Handbook,2009-11-15,690,195,191,comic
328,Murphy's Law,2009-11-16,691,196,192,Art
329,Structure and Randomness,2009-11-17,692,197,193,Religion
330,Image Processing with MATLAB,2009-11-18,693,198,194,Geography
331,Animal Farm,2009-11-19,694,199,195,Art
332,"Idiot, The",2009-11-20,695,200,196,Art
333,"Christmas Carol, A",2009-11-21,696,201,197,Art
